"Case Name","Case Number","Case Type",City,"Date Closed","Date Filed","Employees on charge/petition","Reason Closed",Region,State,Status,Union,"Unit Sought",Voters
"JERSEY CITY MEDICAL CENTER",22-UC-105948,R,"JERSEY CITY",,05/28/2013,6,,"Region 22, Newark, New Jersey",NJ,Open,,"NUTRITION SERVICES HOSPITALITY COORDINATOR (SEE ATTACHED RIDER...

EXC. ALL OTHER EMPLOYEES ANS SUPERVISORY EMPLOYEES UNDER THE ACT....",
"Commercial Building Maintenance Corp.",02-RC-109420,R,SYOSSET,,07/18/2013,11,,"Region 02, New York, New York",NY,Open,,,
"TRANSMED AMBULANCE TRANSPORTATION, INC.",22-RC-120367,R,"EAST BRUNSWICK",,01/10/2014,10,,"Region 22, Newark, New Jersey",NJ,Open,,"INC. ALL FULL TIME , PART TIME AND PER DIEM EMERGENCY MEDICAL TECHNICIANS WORKING OUT OF THE EMPLOYERS EAST BRUNSWICK NEW JERSEY OPERATION.

EXC. ALL GUARDS, ADMINSTRATIVE AND CLERICAL EMPLOYEES, DISPATCH AND COMMUNICATIONS EMPLOYEES, PROFESSIONAL EMPLOYEES, MECHANICS, AND SUPEVISORS AS DEFINED UNDER THE ACT...",10
"JERSEY CITY MEDICAL CENTER",22-UC-123050,R,"JERSEY CITY",,02/24/2014,600,,"Region 22, Newark, New Jersey",NJ,Open,,"SEE APPENDIX A PP1 & PP2
PARAMEDIC AS PROFESSIONAL AND 1 OR SUPERVISORS UNDER THE AC.

INC. MEDICAL RECORDS TECH, MEDICAL RECORDS TECH, ANESTHESIA TECH, ENVIORMENTAL SERVICES WORKER, IMAGING TECH II, STERILE PROCESSING TECH, NONCERTIFIELD, STERILLE PROCESING TECH, CERTIFIELD, DRIVER, MEDICALRECORDS CLERK, UNIT SECRETARY, UNIT SECRETARY, COMMUNITY OUTREACH WORKER, DENTAL ASSISTANT, MEDICAL RECORDS TECH, EEG TECH, EMT, EMT DISPATCHER, PATIENT CARE TECH, HISOLOGY TECH, LAB TECH, STERILLE PROCESSING TECH II, CERTIFIELD, AIDE, COUNRIER, MATERIALS DISTRIBUTION CLERK, MED TECH, MED TECH ASCP, MEDICAL TRANSCRIBER, COURIER, MONITOR TECH, OPHTHALMIC TECHNICIAN, SERGICAL TECH PARAMEDIC, PATIENT ESCORT, PHARMERCY TECH, CERTIFIELD, PHLEBOTOMIST, PHYSICAL THERAPIST, RESPIRATORY THERAPIST THERAPIST II, MEDICAL RECORDS CLERK, PULMONARY FUNCTION TECH, THERAPEUTIC TECH, IMAGING TECH, IMAGING TECH II, UNIT SECRETARY.


PROPOSED TO BE EXCLUDED: 
PARAMEDIC.",
"Entergy Mississippi, Inc.",15-UC-000149,R,Jackson,,08/11/2003,351,,"Region 15, New Orleans, Louisiana",MS,Open,,"Present Bargaining Unit

Included:  All permanent electrical employees engaged in operation, meter reading, maintenance, constuction storeroom and production employed on a onthly and hourly basis in the folliwn classifications:  Lineman 1st Class, Seniro Lineman, Lineman Trainee; crane Operator, Senior Cable Splicer; Cable Splicer,; Cable Splicer Trainee, Head tree Trimmer; Tree Trimmer; T&E MEchanic, T&E Trainee, Senior SC&M Mechanica, SC&M Mechanic, SC&M Trainee, Relayman, Relay Trainee, System Relayman, System Dispatcher, Substation Operator A, Assistant System Dispatcher, System Communication Man, Communication Man, Communication Trainee, System meterman, Electric Meterman, Apprentice Electric Meterman, Polyphase Meter Installer - jackson, Apprentice Serviceman - Outside Jackson, Customer Service Dispatcher, Service Dispatcher - Greenville, Distrucution Dispatcher - Jackson, Assistant Distribution Dispatcher, Carpenter-Painter, Helper, Laborer, Bus Operaator - Jackson, Special Meter Reader - Jackson, Meter Reader, Storekeeper.

Excluded:  Superintendents, General Foremen, Foremen, Managers, all clerical workers and persons whose primary duties are clerical, and all classifications not listed above. 

Proposed Clarification:

Exclude System Dispatcher, Substation Operator A, Assistant System Dispatcher, Customer Service Dispatcher, Service Dispatcher - Greenville, Distribution Dispatcher - jackson, Assistant Distribution Dispatcher, Distribution Operator from the above-described unit on the basis that they are Supervisors as defined in the Act.",
"Cristal USA Inc.",08-RC-188482,R,Ashtabula,,11/21/2016,5,,"Region 08, Cleveland, Ohio",OH,Open,"INTERNATIONAL CHEMICAL WORKERS UNION COUNCIL OF UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION, AFL-CIO, CLC","Included:  All full and regular part-time warehouse employees (Warehouse Person)

Excluded:  All other employees, including all employees in the Maintenance Department, TIO2 Production Department, Warehouse Lead, professional & managerial, office/clericals, guards, & supervisors as defined in the Act.",5
"2000 Linwood Avenue Condominium Association Inc.",22-UD-194824,R,"FORT LEE",,03/15/2017,16,,"Region 22, Newark, New Jersey",NJ,Open,,"Included: All bargaining unit employees.
Excluded: All non bargaining unit employees.",
"Mendez Trucking, Inc.",22-RC-197006,R,BELLEVILLE,,04/18/2017,35,,"Region 22, Newark, New Jersey",NJ,Open,"Mendez Trucking Inc.","INCLUDED: ALL FULL TIME AND REGULAR PART TIME DRIVERS EMPLOYED BY THE EMPLOYER.

EXCLUDED: ALL OFFICE CLERICAL EMPLOYEES, SALES PERSONNEL, MANAGERS, GUARDS AND SUPERVISORS AS DEFINED BY THE ACT.",35
"LEGGETT & PLATT, INC.",09-RD-200329,R,Winchester,,06/09/2017,50,,"Region 09, Cincinnati, Ohio",KY,Open,,"Included:  Production & Maintenance employees at the New St. and Ecton Rd., Winchester, KY facility including inspectors and shipping and receiving employees.

Excluded:  Over the road drivers, office clerical emplooyees, quality auditors, inventory control employees, parts attendants, guards, professional employees, and supervisors.",
"Trenton Emergency Medical Service",22-RC-195107,R,Trenton,,03/16/2017,21,,"Region 22, Newark, New Jersey",NJ,Open,,"Included: All full-time Emergency Medical Technicians and all Emergency Medical Technician working foremen Excluded: All other employees",16
"NBC Universal Media LLC",02-UC-189945,R,"New York",,12/16/2016,-1100,,"Region 02, New York, New York",NY,Open,,"Attachment A: The term ""employee"" as used in this Agreement applies to all the technical employees of the Company wherever located, employed in the Engineering department of the Company, and shall be deemed to include all of the employees who arein the classifications set forth in Article A-III and all employees in additional classifications which may be added to Article A-III during the term of this Agreement pursuant to the jurisdiction of the Union as defined in the Agreement.

Attachment B:  The term ""employee"" as used in this Agreement applies to all the technical employees of he Company wherever located, employed in the Engineering department of the Company, and shall be deemed to include all of the employees who are in the classifications set forth in Article A-III, including, but not limited to, all  employees who perform technical work and/or functions in television control rooms, ""and all other employees in additional classifications which may be added to Article A-III during the term of this Agreement pursuant  to the jurisdiction of the Union as defined in this Agreement.  

*Proposed new language is in bold italtics.",
"Constellus a/k/a Triple Canopy, Inc.",04-UC-207361,R,Philadelphia,,10/02/2017,210,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Description of Present Unit
Included: All full time and regular part-time security Officers employed by the Employer at the Internal Revenue Service (2970 Market Street) Veteran Affairs (5000 Wissahickon Avenue and Social Security Administration (701 E. Chelton Avenue.
Excluded: All other employees, managerial employees and Supervisors within the meaning of the National Labor Relations Act.
 Description of Proposed Unit
All full time and regular part-time Security Officers engaged on the Employer's contract with Department of Homeland Security (DHS) to provide contract security in the greater Metropolitan Philadelphia Pennsylvania area.
Excluded: All other employees, managerial employees and Supervisors within the meaning of the National Labor Relations Act.",
"United Food and Commercial Workers Union, Local Union No. 21, AFL-CIO, CLC",19-RD-204660,R,Seattle,,08/18/2017,38,,"Region 19, Seattle, Washington",WA,Open,,"Included:  All union representatives, lead union representatives, grievance representatives, organizers, community organizers, political organizers, and researchers.

Excluded:  All office/clerical employees, confidential employees, guards, department heads, supervisors, student interns under the supervision of a Local 21 staff person and full time negotiators.",
WRC-TV,05-UC-217175,R,Washington,,03/26/2018,22,,"Region 05, Baltimore, Maryland",DC,Open,,"Included:  See Attachment A and B, Under ""Petition""",
"CP Anchorage Hotel 2, LLC, d/b/a Hilton Anchorage",19-RD-223516,R,Anchorage,,07/11/2018,153,,"Region 19, Seattle, Washington",AK,Open,,"Included:  Unit involved: Banquet Bartender; Banquet Captain; Banquet Server; Banquet Houseman; Barista; Bellman; Bell Captain; Bruins Bartender; Bus Person; Cashier; Coat Check/Room Check Attendant; Cocktail Server; Concierge; Cook; Dishwasher/Steward; Doorman; Front Desk/PBX; Host/Hostess; Housekeeping Clerk; Housekeeper/Room Attendant; Houseman; Housekeeping inspector; Laundry-Presser/Chute; Laundry-Washer; Maintenance; Maintenance Supervisor; Night Auditor; Purchasing; Restaurant Server; Room Service.

Exclude:  Security, Managers, Confidential employee; Clerical employee, Supervisor as defined in the Act.",
"Arakelian Enterprises, Inc. d/b/a/ Athens Services",31-RD-223309,R,Pacoima,,07/06/2018,267,,"Region 31, Los Angeles, California",CA,Open,,"Included: All mechanics, drivers. helpers, helpers and shopworkers at 12303 Montague St., Pacoima, CA 91331. 
Excluded: All other employees, office clerical employees, confidential employees, guards and supervisors as defined in the Act.",
"NBC Universal Media, LLC",02-UC-224174,R,"New York",,07/23/2018,1000,,"Region 02, New York, New York",NY,Open,,"Included: Master Agreement Section A1.1 (excerpt)
The term ""employee"" as used in this Agreement applies to all the technical employees of the Company whereever located, employed in the Engineering department of the Company and shall be deemed to include all of the employees who are in the classifications set forth in Article A-III and all employees in additional classifications which may be added to Article A-III during the term of this Agreement pursuant to the jurisdiction of the Union s defined in this Agreement.

Master Agreement Section A2.1
Only employees under this Agreement shall operate, maintain and, to the extent heretofore repair technical equipment, and technical equipment for the purposes of this contract includes those facilities of the Engineering Department of the Company used in transmitting, converting and/or conducting audio, video, and/or radio frequencies for use in broadcast, closed-circuit broadcast, rebroadcast, audition, rehearsal, recording, and/or on the air playback.

Excluded:",
"Hercules Fire Protection and Plumbing, LLC",08-RC-224503,R,"North Ridgeville",,07/26/2018,10,,"Region 08, Cleveland, Ohio",OH,Open,,"Included:  All full time and part time sprinkler fitters and helper sprinkler fitters, install, maintain, service and inspect fire protection systems.

Excluded:  Office clerical employees, designers, sales persons, guards, professional employees and supervisors as defined in the Act.",
"CEMEX Construction Materials Pacific, LLC",28-RC-232059,R,"Las Vegas",,12/03/2018,385,,"Region 28, Phoenix, Arizona",NV,Open,"International Brotherhood of Teamsters","INCLUDED:  All full-time and regular part-time drivers of ready mix trucks.

EXCLUDED:  All yardmen, batchmen, mechanics, building mechanics, testers/inspectors, safety champions, guards, clericals and supervisors as defined by the Act.",369
"American Medical Response of Maricopa, LLC dba AMR; Professional Medical Transport, Inc. dba PMT, Life Line, and AMR; and SW General Inc. dba Southwest Ambulance and AMR",28-RM-234875,R,Mesa,,01/25/2019,307,,"Region 28, Phoenix, Arizona",AZ,Open,,"Included: 3 units, full-time and regular part-time non-emergency EMTs, paramedics, and nurses

Excluded: On-call employees, supervisors, all other employees",
"The New Museum of Contemporary Art",02-UC-236121,R,"New York",,02/12/2019,77,,"Region 02, New York, New York",NY,Open,,"Included:  All full time and regular part time employees employed by the Employer at its facility located at 231 and 235 Bowery, New York, NY

Excluded:  All other employees, including maintenance department employees, confidential employees, temporary employees, and guards, and supervisors as defined in the Act.",
"Kaiser Foundation Hospitals",21-RD-237218,R,"MORENO VALLEY",,03/07/2019,330,,"Region 21, Los Angeles, California",CA,Open,,"Included: All full-time, regular part-time, limited part-time, and per diem/on-call and temporary registered nurses, including inpatient charge registered nurses, employed by the Employer at its facility located 27300 Iris Avenue, Moreno Valley, California. 

Excluded: All other employees, physicians, other professional employees, business office clerical employees, skilled maintenance employees, technical employees, other nonprofessional employees, managerial employees, guards and supervisors as defined in the Act.",343
"Needham Excavating, Inc.",25-RC-243735,R,Walcott,,06/21/2019,9,,"Region 25, Indianapolis, Indiana",IA,Open,,"Included: all full-time heavy equipment operators; Excluded: Other classifications, supervisors, managers, office clerical, and guards.",17
"Sysco Hampton Roads, Inc.",05-RC-245597,R,Suffolk,,07/26/2019,86,,"Region 05, Baltimore, Maryland",VA,Open,"International Brotherhood of Teamsters, Local Union 822","Included:  All route drivers, shuttle drivers, van drivers ship drivers, night drivers and all drivers at the following satellite yards: 1) Richmond VA, 5436 Jefferson Davis Hwy.; 2) Virginia Beach VA, 2044 Landstown Center Way; 3) Williamsburg VA, 1570 Penniman Road; 4) Manteo N.C., 1013 Driftwood Dr.; 5) Maple (Currituck) N.C., 264 Airport Road; 6) Elizabeth City N.C., 660 Old U.S. Hwy 17-S",87
Kingsland/Winstar,29-RC-250173,R,Maspeth,,10/18/2019,20,,"Region 29, Brooklyn, New York",NY,Open,,"Included: All Full Time and Regular Part Time Drivers and Helpers Excluded: All Supervisors, Guards and Clerical Employees, as defined in the Act",
"Columbia College Chicago",13-AC-248521,R,Chicago,,09/19/2019,50,,"Region 13, Chicago, Illinois",IL,Open,,"Included:  All part-time faculty members at Columbia College Chicago.  Excluded:  All other employees, Full-time Faculty, artists-in-residence, and Columbia College Chicago graduate students,part-time faculty members teaching only continuing education, music lessions to inididual students or book and paper marking classes, Columbia College Chicago full-time staff members, teachers employed by Erickson Institute, The YMCA or Adler Planetarium, and other individuals not appearing on the Columbia College Chicago payroll, managers and confidential employees, guards, and supervisors as defined in the Act.",
"NP Red Rock LLC d/b/a Red Rock  Casino Resort Spa",28-RC-252280,R,"Las Vegas",,11/21/2019,1350,,"Region 28, Phoenix, Arizona",NV,Open,"Local Joint Executive Board of Las Vegas","INCLUDED: All full-time and regular part-time Assistant Food Servers, Bakers, Bakers 2,
Bakers 3, Banquets Back Aisle, Banquet Bar Backs, Banquet Bartenders, Banquet Porters,
Banquets Setup, Barbacks, Bar porters. Bar host, Bartenders, Bell Persons, Bell Starters,
Beverage Porters, Beverage Servers, Beverage (Race/Sports), Banquet Servers, Bus
Persons/Bussers, Cake Decorators, Cake Decorators 2, Captains, Coffee Breakers, Concession
Workers, Cooks, Cook’s Helpers, Counter Attendants, Entertainment Bartenders, Food Servers,
Gourmet Hostperson/Cashiers, Host/Cashiers, Flousekeeping Utility Porters, Ice Cream
Concession Workers, Kitchen Runners, Kitchen Workers, Lead Banquet Porters, Lead Counter
Attendants, Lead Servers, Mini Bar Attendants, Mixologists, Pantry, Porters, Resort Guest Room
Attendants, Resort Housepersons, Resort Suite Guest Room Attendants, Resort Steakhouse
Cooks, Restaurant Attendants, Room Runners, Room Service Captains, Runners, Service
Bartenders, Specialty Cooks, Servers, Sprinters, Status Board, Stove Persons, TDR Attendants,
Turndown Guest Room Attendants, Utility Porters, VIP Attendants, VIP Bartenders, and VIP
Lounge Attendants employed by the employer at its facility at 11011 W Charleston Blvd, Las
Vegas, NV.
EXCLUDED: All other employees, front desk employees, valet parkers, gaming employees
(dealers, slot attendants, cage cashiers), inspectresses, engineering and maintenance employees,
office clerical employees, guards, managers, and supervisors as defined by the Act.
",1337
"West Fraser, Inc.",12-RD-253348,R,Blackshear,,12/13/2019,122,,"Region 12, Tampa, Florida",GA,Open,,"Included: All full time and regular part-time employees of the sawmill and planer departments, including chip-in-saw operators, relief operators, log lift operators, control house operators 1, 2 and 3, edger operators, clean up operators, stacker operators, lift operators, (rough lumber), sorter bay operators, sorting deck operators, utility employees during first six months, utility employees employed after six months, planer operators, graders, grader trainee, planer feeder, trim saw operators, lift operators, (finished lumber), package operators, sorter bay operators, bander operators, utility employees, repairman a, b and c, saw filer, saw filer helper, electricians, maintenance trainees/oilers and oilers employed during first ninety days and utility employees employed after ninety days, lead men, employed by the employer at it’s facility located at 4804 Gilman Road, Blackshear, GA.

Excluded: All other employees, guards and supervisors as defined in the Act.
",111
"Johnston Fire Services, LLC",10-RC-253354,R,Paducah,,12/13/2019,5,,"Region 10, Atlanta, Georgia",KY,Open,,"Included: Sprinkler fitters, laborers, and Mechanics",6
"Live Nation Worldwide, Inc.",01-RC-251507,R,Boston,,11/12/2019,96,,"Region 01, Boston, Massachusetts",MA,Open,,"Included:  Ushers employed at the Employer's facility located at 290 Northern Ave., Boston, MA.
Excluded: All other employees, office clerical employees, guards, and supervisors as defined in the Act",
"Washington Lawyers' Committee for Civil Rights and Urban Affairs",05-UC-253720,R,Washington,,12/20/2019,19,,"Region 05, Baltimore, Maryland",DC,Open,,"Description of Present Unit:
Included:  All full-time and regular part-time employees including Counsels*, Paralegals, the Receptionist and Facilities Supervisor, the Communications Associate, the Prisoners' Rights Advocacy Director, the Grants Associate, the Workers' Rights Advocate, the Parent Empowerment Coordinator, the Education Project Director, and the Leadership Support and Development Associate (*There are two counsel in dispute with regard to their supervisory status. They are Counsel Dennis Corkery and Senior Counsel Daniel Katz.)
Excluded:  The Executive Director, Legal Director, Deputy Legal Directors, Chief Operating Officer, Director of Development and Communications, Chief Financial Officer, attorney fellows, confidential employees, managerial employees, guards, and supervisors as defined by the Act.
Description of Proposed Unit:
Included:  All full-time and regular part-time employees including Counsels*, Paralegals, the Receptionist and Facilities Supervisor, the Communications Associate, the Prisoners' Rights Advocacy Director, the Grants Associate, the Workers' Rights Advocate, the Parent Empowerment Coordinator, the Education Project Director, and the Leadership Support and Development Associate (*Two counsel are in dispute with regard to their supervisory status. Counsel Dennis Corkery and Senior Counsel Daniel Katz would be excluded from the proposed unit.)
Excluded:  The Executive Director, Legal Director, Deputy Legal Directors, Chief Operating Officer, Director of Development and Communications, Chief Financial Officer, attorney fellows, confidential employees, managerial employees, guards, and supervisors (including Counsels in supervisor positions*) as defined by the Act (*Counsel Dennis Corkery and Senior Counsel Daniel Katz would be excluded from the proposed unit based on their supervisory status.
",
"FreshPoint Southern California, Inc.",28-RC-252613,R,"Las Vegas",,11/26/2019,8,,"Region 28, Phoenix, Arizona",NV,Open,"International Brotherhood of Teamsters, Local 630","INCLUDED:  All drivers employed by the Employer at its facility in Las Vegas, NV 

EXCLUDED:  All other employees including managerial/supervisor, clerical, professional, and security guards.",8
"ERP International",28-RC-254977,R,"Las Vegas",,01/22/2020,4,,"Region 28, Phoenix, Arizona",NV,Open,,"Included: All full time and regular part time Pharmacy Technicians employed by the employer in the Nellis AFB Satellite Pharmacy Bldg # 340 located at Nellis Air Force Base Las Vegas NV. 
Excluded: All managers, Pharmacists, Dietitians and all other professional employees, guards and supervisors as defined by the Act. 
",4
"Audio Visual Services Group Inc., d/b/a PSAV and/or PSAV Hotel Division",28-RC-255945,R,"Las Vegas",,02/06/2020,53,,"Region 28, Phoenix, Arizona",NV,Open,,"Included: All Stagehands and Technicians, including Technical Lead, Technical Spec, Technician, Lead Rigger, Rigger, Power Distributor, Floor ""Supervisor,"" performing work in Las Vegas, NV, including but not limited to at the Cosmopolitan, M Resort Spa Casino, Four Seasons, and JW Marriott. 
Excluded: All other employees, including management, supervisors, confidential employees, guards, sales, and area scheduling.",
"Universal Protection Services, LLC d/b/a Allied Universal Security",02-RC-255684,R,Bronx,01/07/2021,02/04/2020,25,"Certification of Results","Region 02, New York, New York",NY,Open,,"Included: All full-time and regular part-time security guards Excluded: All other non-guard employees, office clerical employees and supervisors",20
"Phoenix New Times, LLC",28-RC-254936,R,Phoenix,,01/21/2020,11,,"Region 28, Phoenix, Arizona",AZ,Open,,"INCLUDED:  All full-time and regular part-time news department employees employed by the Employer.

EXCLUDED:  All other employees, including all managers, guards, and supervisors as defined by the Act.",3
"Consolidated Bus Transit, Inc.",02-UD-257258,R,Brooklyn,01/19/2021,02/28/2020,380,"Certification of Results","Region 02, New York, New York",NY,Open,,"Included:  All full time and regular part time drivers, attendants, matrons and mechanics that work at 2350 Hermany Avenue, Bronx

Excluded:
All managers, supervisors, office clerical employees, and guards as defined in the Act.",364
"Broad 600 LLC",04-RC-257607,R,Philadelphia,,03/06/2020,3,,"Region 04, Philadelphia, Pennsylvania",PA,Open,,"Included: All full time and part time sound technicians/audio technicians.  Excluded: All other employees, guards and supervisors as defined by the Act.",
"Southern California Permanente Medical Group and Kaiser Foundation Hospitals",21-RD-258174,R,"Los Angeles",,03/19/2020,413,,"Region 21, Los Angeles, California",CA,Open,,"Included: All full-time and part-time, and per diem speech therapists, audiologists, dietitians and health educators.

Excluded: guards and supervisors as defined in the Act,",
"Mountaire Farms Inc.",05-RD-256888,R,Selbyville,,02/25/2020,800,,"Region 05, Baltimore, Maryland",DE,Open,,"Included: 1st Processing, 2nd Processing and Tray Pack;  Excluded:  Transportation, Live Haul Drivers, Shipping, Coolers, Maintenance, HR, Box room, QA, Paws, Giblets",
"Professional Transportation, Inc.",32-RC-259368,R,Fresno,,04/21/2020,97,,"Region 32, Oakland, California",CA,Open,"UNITED ELECTRICAL, RADIO, AND MACHINE WORKERS OF AMERICA (U.E.), LOCAL 1077","Included: All full-time and regular part-time road drivers, yard drivers, radius drivers, shuttle drivers, lead drivers, yard managers, and yard coordinators employed by the Employer at, or out of the rail yards located in California and Nevada including at the following locations: Bakersfield, Fresno, Stockton, Lathrop, Oakland, San Jose, Roseville, Dunsmuir, and Portola, in California; and Parks and Winnemuca in Nevada.

Excluded: All supervisors, guards, and confidential employees as defined in the Act.",113
"Arr-Maz Products, Limited Partnership",12-RC-255997,R,Mulberry,,02/10/2020,51,,"Region 12, Tampa, Florida",FL,Open,,"Included: Production, Warehouse, Rail Side Workers, Maintenance & Electrical Workers.

Excluded: Office& Clerical, Truck Drivers, Lab, Guards and Supervisors as defined in the Act.",42
"CORT Business Services Corporation",22-RC-257765,R,"North Bergen",,03/10/2020,48,,"Region 22, Newark, New Jersey",NJ,Open,,"Included:
All fuII-time drivers, helpers, warehousemen and refinishers.

Excluded:
All office clerical employees, seasonal warchousemen, seasonal helpers, and others",
"Northwestern Corporation d/b/a Northwestern Energy",19-UC-261685,R,Butte,,06/15/2020,8,,"Region 19, Seattle, Washington",MT,Open,,"Present Unit:  Included:  Mobile Dispatchers and OMS Dispatchers.  Excluded:  All other employees.

Proposed Unit: Included: Mobile Dispatchers, OMS Dispatchers and Controllers.  Excluded:  All other employees.  
",
"XPO Logistics Freight, Inc.",14-RC-261601,R,"Kansas City",,06/12/2020,18,,"Region 14, Saint Louis, Missouri",KS,Open,"International Brotherhood of Teamsters Local 41","Included:  All full-time and regular part-time driver sales reps (DSR) city and line haul employed by the Employer at its facility located at 234 E Donovan Road Kansas City, KS 66115. Excluded:  All other employees including dock employees, office/clerical employees, maintenance employees, managerial employees, confidential employees, professional employees, guards and supervisors as defined in the Act.",150
"Aclara Smart Grid Solutions, LLC",05-RC-261239,R,Richmond,,06/03/2020,17,,"Region 05, Baltimore, Maryland",VA,Open,,"Included:  All full time and regular part time employees, performing meter installations and warehouse inventory duties within Dominion Virginia Electric and Power Companies within the states of Virginia and North Carolina.  

Excluded: All other employees, confidential employees, guards, and supervisors as defined by the Act.",21
